ufn,municipio,codmun6,idhm,popt
Rondônia,ALTA FLORESTA D'OESTE,110001,0.641,22429
Rondônia,ARIQUEMES,110002,0.702,88730
Rondônia,CABIXI,110003,0.65,6156
Rondônia,CACOAL,110004,0.718,76876
Rondônia,CEREJEIRAS,110005,0.692,16815
Rondônia,COLORADO DO OESTE,110006,0.685,18204
Rondônia,CORUMBIARA,110007,0.613,8397
Rondônia,COSTA MARQUES,110008,0.611,13246
Rondônia,ESPIGÃO D'OESTE,110009,0.672,27791
Rondônia,GUAJARÁ-MIRIM,110010,0.657,38203
Rondônia,JARU,110011,0.689,51304
Rondônia,JI-PARANÁ,110012,0.714,115322
Rondônia,MACHADINHO D'OESTE,110013,0.596,28671
Rondônia,NOVA BRASILÂNDIA D'OESTE,110014,0.643,18998
Rondônia,OURO PRETO DO OESTE,110015,0.682,37159
Rondônia,PIMENTA BUENO,110018,0.71,33386
Rondônia,PORTO VELHO,110020,0.736,419354
Rondônia,PRESIDENTE MÉDICI,110025,0.664,21459
Rondônia,RIO CRESPO,110026,0.643,3071
Rondônia,ROLIM DE MOURA,110028,0.7,49999
Rondônia,SANTA LUZIA D'OESTE,110029,0.67,8674
Rondônia,VILHENA,110030,0.731,75450
Rondônia,SÃO MIGUEL DO GUAPORÉ,110032,0.646,19630
Rondônia,NOVA MAMORÉ,110033,0.587,21311
Rondônia,ALVORADA D'OESTE,110034,0.643,16275
Rondônia,ALTO ALEGRE DOS PARECIS,110037,0.592,11701
Rondônia,ALTO PARAÍSO,110040,0.625,16802
Rondônia,BURITIS,110045,0.616,31377
Rondônia,NOVO HORIZONTE DO OESTE,110050,0.634,9668
Rondônia,CACAULÂNDIA,110060,0.646,5597
Rondônia,CAMPO NOVO DE RONDÔNIA,110070,0.593,11659
Rondônia,CANDEIAS DO JAMARI,110080,0.649,18992
Rondônia,CASTANHEIRAS,110090,0.658,3405
Rondônia,CHUPINGUAIA,110092,0.652,7875
Rondônia,CUJUBIM,110094,0.612,15111
Rondônia,GOVERNADOR JORGE TEIXEIRA,110100,0.596,10228
Rondônia,ITAPUÃ DO OESTE,110110,0.614,8309
Rondônia,MINISTRO ANDREAZZA,110120,0.638,9763
Rondônia,MIRANTE DA SERRA,110130,0.643,11656
Rondônia,MONTE NEGRO,110140,0.607,13720
Rondônia,NOVA UNIÃO,110143,0.587,7326
Rondônia,PARECIS,110145,0.617,4381
Rondônia,PIMENTEIRAS DO OESTE,110146,0.665,2225
Rondônia,PRIMAVERA DE RONDÔNIA,110147,0.641,3393
Rondônia,SÃO FELIPE D'OESTE,110148,0.649,5871
Rondônia,SÃO FRANCISCO DO GUAPORÉ,110149,0.611,15401
Rondônia,SERINGUEIRAS,110150,0.598,10744
Rondônia,TEIXEIRÓPOLIS,110155,0.643,4774
Rondônia,THEOBROMA,110160,0.589,9434
Rondônia,URUPÁ,110170,0.609,12120
Rondônia,VALE DO ANARI,110175,0.584,8906
Rondônia,VALE DO PARAÍSO,110180,0.627,7675
Acre,ACRELÂNDIA,120001,0.604,11932
Acre,ASSIS BRASIL,120005,0.588,5124
Acre,BRASILÉIA,120010,0.614,20288
Acre,BUJARI,120013,0.589,7938
Acre,CAPIXABA,120017,0.575,8453
Acre,CRUZEIRO DO SUL,120020,0.664,73535
Acre,EPITACIOLÂNDIA,120025,0.653,14545
Acre,FEIJÓ,120030,0.539,26182
Acre,JORDÃO,120032,0.469,5524
Acre,MÂNCIO LIMA,120033,0.625,14220
Acre,MANOEL URBANO,120034,0.551,7427
Acre,MARECHAL THAUMATURGO,120035,0.501,11972
Acre,PLÁCIDO DE CASTRO,120038,0.622,16210
Acre,PORTO WALTER,120039,0.532,7913
Acre,RIO BRANCO,120040,0.727,328655
Acre,RODRIGUES ALVES,120042,0.567,13151
Acre,SANTA ROSA DO PURUS,120043,0.517,3517
Acre,SENADOR GUIOMARD,120045,0.64,19573
Acre,SENA MADUREIRA,120050,0.603,34029
Acre,TARAUACÁ,120060,0.539,31613
Acre,XAPURI,120070,0.599,15130
Acre,PORTO ACRE,120080,0.576,13843
Amazonas,ALVARÃES,130002,0.527,12619
Amazonas,AMATURÁ,130006,0.56,8479
Amazonas,ANAMÃ,130008,0.594,9602
Amazonas,ANORI,130010,0.561,15481
Amazonas,APUÍ,130014,0.637,16869
Amazonas,ATALAIA DO NORTE,130020,0.45,11093
Amazonas,AUTAZES,130030,0.577,29272
Amazonas,BARCELOS,130040,0.5,14296
Amazonas,BARREIRINHA,130050,0.574,25846
Amazonas,BENJAMIN CONSTANT,130060,0.574,30167
Amazonas,BERURI,130063,0.506,13633
Amazonas,BOA VISTA DO RAMOS,130068,0.565,13803
Amazonas,BOCA DO ACRE,130070,0.588,28167
Amazonas,BORBA,130080,0.56,31210
Amazonas,CAAPIRANGA,130083,0.569,9472
Amazonas,CANUTAMA,130090,0.53,11606
Amazonas,CARAUARI,130100,0.549,25249
Amazonas,CAREIRO,130110,0.557,25243
Amazonas,CAREIRO DA VÁRZEA,130115,0.568,20789
Amazonas,COARI,130120,0.586,67650
Amazonas,CODAJÁS,130130,0.563,22034
Amazonas,EIRUNEPÉ,130140,0.563,28222
Amazonas,ENVIRA,130150,0.509,14590
Amazonas,FONTE BOA,130160,0.53,19823
Amazonas,GUAJARÁ,130165,0.532,10610
Amazonas,HUMAITÁ,130170,0.605,40274
Amazonas,IPIXUNA,130180,0.481,19874
Amazonas,IRANDUBA,130185,0.613,38313
Amazonas,ITACOATIARA,130190,0.644,82711
Amazonas,ITAMARATI,130195,0.477,7001
Amazonas,ITAPIRANGA,130200,0.654,7213
Amazonas,JAPURÁ,130210,0.522,7117
Amazonas,JURUÁ,130220,0.522,10309
Amazonas,JUTAÍ,130230,0.516,15956
Amazonas,LÁBREA,130240,0.531,34359
Amazonas,MANACAPURU,130250,0.614,82267
Amazonas,MANAQUIRI,130255,0.596,21873
Amazonas,MANAUS,130260,0.737,1787596
Amazonas,MANICORÉ,130270,0.582,43679
Amazonas,MARAÃ,130280,0.498,13958
Amazonas,MAUÉS,130290,0.588,48995
Amazonas,NHAMUNDÁ,130300,0.586,16033
Amazonas,NOVA OLINDA DO NORTE,130310,0.558,27144
Amazonas,NOVO AIRÃO,130320,0.57,12631
Amazonas,NOVO ARIPUANÃ,130330,0.554,19364
Amazonas,PARINTINS,130340,0.658,94239
Amazonas,PAUINI,130350,0.496,16597
Amazonas,PRESIDENTE FIGUEIREDO,130353,0.647,25693
Amazonas,RIO PRETO DA EVA,130356,0.611,22991
Amazonas,SANTA ISABEL DO RIO NEGRO,130360,0.479,11561
Amazonas,SANTO ANTÔNIO DO IÇÁ,130370,0.49,19866
Amazonas,SÃO GABRIEL DA CACHOEIRA,130380,0.609,28086
Amazonas,SÃO PAULO DE OLIVENÇA,130390,0.521,26280
Amazonas,SÃO SEBASTIÃO DO UATUMÃ,130395,0.577,10327
Amazonas,SILVES,130400,0.632,8187
Amazonas,TABATINGA,130406,0.616,49273
Amazonas,TAPAUÁ,130410,0.502,17212
Amazonas,TEFÉ,130420,0.639,59646
Amazonas,TONANTINS,130423,0.548,15075
Amazonas,UARINI,130426,0.527,10386
Amazonas,URUCARÁ,130430,0.62,16664
Amazonas,URUCURITUBA,130440,0.588,16645
Roraima,AMAJARI,140002,0.484,5236
Roraima,ALTO ALEGRE,140005,0.542,10150
Roraima,BOA VISTA,140010,0.752,280694
Roraima,BONFIM,140015,0.626,9623
Roraima,CANTÁ,140017,0.619,11939
Roraima,CARACARAÍ,140020,0.624,17505
Roraima,CAROEBE,140023,0.639,7752
Roraima,IRACEMA,140028,0.582,6917
Roraima,MUCAJAÍ,140030,0.665,13318
Roraima,NORMANDIA,140040,0.594,7582
Roraima,PACARAIMA,140045,0.65,8785
Roraima,RORAINÓPOLIS,140047,0.619,22346
Roraima,SÃO JOÃO DA BALIZA,140050,0.655,6570
Roraima,SÃO LUIZ,140060,0.649,6397
Roraima,UIRAMUTÃ,140070,0.453,6345
Pará,ABAETETUBA,150010,0.628,137997
Pará,ABEL FIGUEIREDO,150013,0.622,6678
Pará,ACARÁ,150020,0.506,48516
Pará,AFUÁ,150030,0.489,27779
Pará,ÁGUA AZUL DO NORTE,150034,0.564,21820
Pará,ALENQUER,150040,0.564,49416
Pará,ALMEIRIM,150050,0.642,31671
Pará,ALTAMIRA,150060,0.665,93243
Pará,ANAJÁS,150070,0.484,22722
Pará,ANANINDEUA,150080,0.718,468874
Pará,ANAPU,150085,0.548,18065
Pará,AUGUSTO CORRÊA,150090,0.52,37678
Pará,AURORA DO PARÁ,150095,0.519,23652
Pará,AVEIRO,150100,0.541,13843
Pará,BAGRE,150110,0.471,21240
Pará,BAIÃO,150120,0.578,35233
Pará,BANNACH,150125,0.594,3153
Pará,BARCARENA,150130,0.662,97780
Pará,BELÉM,150140,0.746,1381212
Pará,BELTERRA,150145,0.588,14782
Pará,BENEVIDES,150150,0.665,50859
Pará,BOM JESUS DO TOCANTINS,150157,0.589,14752
Pará,BONITO,150160,0.546,13131
Pará,BRAGANÇA,150170,0.6,109559
Pará,BRASIL NOVO,150172,0.613,13865
Pará,BREJO GRANDE DO ARAGUAIA,150175,0.591,6907
Pará,BREU BRANCO,150178,0.568,50769
Pará,BREVES,150180,0.503,87238
Pará,BUJARU,150190,0.552,23077
Pará,CACHOEIRA DO PIRIÁ,150195,0.473,21907
Pará,CACHOEIRA DO ARARI,150200,0.546,18477
Pará,CAMETÁ,150210,0.577,114871
Pará,CANAÃ DOS CARAJÁS,150215,0.673,25917
Pará,CAPANEMA,150220,0.655,62422
Pará,CAPITÃO POÇO,150230,0.548,50327
Pará,CASTANHAL,150240,0.673,170550
Pará,CHAVES,150250,0.453,16706
Pará,COLARES,150260,0.602,10878
Pará,CONCEIÇÃO DO ARAGUAIA,150270,0.64,43835
Pará,CONCÓRDIA DO PARÁ,150275,0.566,27485
Pará,CUMARU DO NORTE,150276,0.55,8661
Pará,CURIONÓPOLIS,150277,0.636,17467
Pará,CURRALINHO,150280,0.502,26525
Pará,CURUÁ,150285,0.578,11357
Pará,CURUÇÁ,150290,0.582,33423
Pará,DOM ELISEU,150293,0.615,50262
Pará,ELDORADO DOS CARAJÁS,150295,0.56,28761
Pará,FARO,150300,0.563,7659
Pará,FLORESTA DO ARAGUAIA,150304,0.583,16085
Pará,GARRAFÃO DO NORTE,150307,0.526,23965
Pará,GOIANÉSIA DO PARÁ,150309,0.56,28107
Pará,GURUPÁ,150310,0.509,25463
Pará,IGARAPÉ-AÇU,150320,0.595,35300
Pará,IGARAPÉ-MIRI,150330,0.547,53894
Pará,INHANGAPI,150340,0.572,9668
Pará,IPIXUNA DO PARÁ,150345,0.489,42386
Pará,IRITUIA,150350,0.559,29304
Pará,ITAITUBA,150360,0.64,92834
Pará,ITUPIRANGA,150370,0.528,43660
Pará,JACAREACANGA,150375,0.505,10731
Pará,JACUNDÁ,150380,0.622,49358
Pará,JURUTI,150390,0.592,43175
Pará,LIMOEIRO DO AJURU,150400,0.541,23485
Pará,MÃE DO RIO,150405,0.599,27429
Pará,MAGALHÃES BARATA,150410,0.597,7780
Pará,MARABÁ,150420,0.668,224052
Pará,MARACANÃ,150430,0.57,26489
Pará,MARAPANIM,150440,0.609,25970
Pará,MARITUBA,150442,0.676,106943
Pará,MEDICILÂNDIA,150445,0.582,24442
Pará,MELGAÇO,150450,0.418,23435
Pará,MOCAJUBA,150460,0.575,25969
Pará,MOJU,150470,0.547,64253
Pará,MONTE ALEGRE,150480,0.589,49563
Pará,MUANÁ,150490,0.547,32289
Pará,NOVA ESPERANÇA DO PIRIÁ,150495,0.502,17640
Pará,NOVA IPIXUNA,150497,0.581,14010
Pará,NOVA TIMBOTEUA,150500,0.609,13234
Pará,NOVO PROGRESSO,150503,0.673,24714
Pará,NOVO REPARTIMENTO,150506,0.537,54849
Pará,ÓBIDOS,150510,0.594,47653
Pará,OEIRAS DO PARÁ,150520,0.507,27046
Pará,ORIXIMINÁ,150530,0.623,59657
Pará,OURÉM,150540,0.568,15654
Pará,OURILÂNDIA DO NORTE,150543,0.624,26339
Pará,PACAJÁ,150548,0.515,34575
Pará,PALESTINA DO PARÁ,150549,0.589,7199
Pará,PARAGOMINAS,150550,0.645,96402
Pará,PARAUAPEBAS,150553,0.715,152497
Pará,PAU D'ARCO,150555,0.574,5690
Pará,PEIXE-BOI,150560,0.581,7426
Pará,PIÇARRA,150563,0.563,11458
Pará,PLACAS,150565,0.552,21985
Pará,PONTA DE PEDRAS,150570,0.562,24334
Pará,PORTEL,150580,0.483,44756
Pará,PORTO DE MOZ,150590,0.503,30817
Pará,PRAINHA,150600,0.523,25051
Pará,PRIMAVERA,150610,0.577,9846
Pará,QUATIPURU,150611,0.543,12132
Pará,REDENÇÃO,150613,0.672,73132
Pará,RIO MARIA,150616,0.638,17307
Pará,RONDON DO PARÁ,150618,0.602,44470
Pará,RURÓPOLIS,150619,0.548,35604
Pará,SALINÓPOLIS,150620,0.647,36684
Pará,SALVATERRA,150630,0.608,19498
Pará,SANTA BÁRBARA DO PARÁ,150635,0.627,16417
Pará,SANTA CRUZ DO ARARI,150640,0.557,7886
Pará,SANTA ISABEL DO PARÁ,150650,0.659,56041
Pará,SANTA LUZIA DO PARÁ,150655,0.546,18338
Pará,SANTA MARIA DAS BARREIRAS,150658,0.544,15472
Pará,SANTA MARIA DO PARÁ,150660,0.598,22855
Pará,SANTANA DO ARAGUAIA,150670,0.602,51632
Pará,SANTARÉM,150680,0.691,286578
Pará,SANTARÉM NOVO,150690,0.587,5687
Pará,SANTO ANTÔNIO DO TAUÁ,150700,0.632,26139
Pará,SÃO CAETANO DE ODIVELAS,150710,0.585,16576
Pará,SÃO DOMINGOS DO ARAGUAIA,150715,0.594,22817
Pará,SÃO DOMINGOS DO CAPIM,150720,0.532,28295
Pará,SÃO FÉLIX DO XINGU,150730,0.594,76357
Pará,SÃO FRANCISCO DO PARÁ,150740,0.608,14822
Pará,SÃO GERALDO DO ARAGUAIA,150745,0.595,24339
Pará,SÃO JOÃO DA PONTA,150746,0.583,5135
Pará,SÃO JOÃO DE PIRABAS,150747,0.539,19548
Pará,SÃO JOÃO DO ARAGUAIA,150750,0.55,11533
Pará,SÃO MIGUEL DO GUAMÁ,150760,0.591,50285
Pará,SÃO SEBASTIÃO DA BOA VISTA,150770,0.558,22234
Pará,SAPUCAIA,150775,0.59,4941
Pará,SENADOR JOSÉ PORFÍRIO,150780,0.514,12465
Pará,SOURE,150790,0.615,22579
Pará,TAILÂNDIA,150795,0.588,76106
