dia,sistema_id,nome,volume_porcentagem_ar,volume_porcentagem,volume_variacao_str,volume_variacao_num,volume_operacional,image_prec_dia,prec_dia,prec_mensal,prec_hist,link_grafico,link_informacoes,indicador_volume_dia,indicador_volume,circle_image,link_tempo
2020-07-30,0,Cantareira,"52,5",52.45845,"-0,1",-0.1,515.17978,prec_icon.png,"2,0","6,9","47,7",NA,NA,0,2,NA,NA
2020-07-30,1,Alto Tietê,"68,1",68.08712,"-0,2",-0.2,381.49849,prec_icon.png,"4,3","11,8","47,9",NA,NA,0,2,NA,NA
2020-07-30,2,Guarapiranga,"53,0",53.00053,"-0,1",-0.1,90.73242,prec_icon.png,"5,0","6,0","41,9",NA,NA,0,2,NA,NA
2020-07-30,3,Cotia,"82,4",82.40201,"0,0",0,13.59396,prec_icon.png,"8,0","12,2","52,1",NA,NA,0,2,NA,NA
2020-07-30,4,Rio Grande,"71,9",71.86911,"0,2",0.2,80.62443,prec_icon.png,"9,0","14,0","55,2",NA,NA,0,2,NA,NA
2020-07-30,5,Rio Claro,"59,9",59.85896,"2,3",2.3,8.18086,prec_icon.png,"26,2","48,0","92,1",NA,NA,0,2,NA,NA
2020-07-30,17,São Lourenço,"77,5",77.50055,"-0,5",-0.5,68.83698,prec_icon.png,"16,0","35,8","77,7",NA,NA,0,2,NA,NA
2020-07-29,0,Cantareira,"52,6",52.59392,"-0,1",-0.1,516.51016,prec_sun_icon.png,"0,0","4,9","47,7",NA,NA,0,2,NA,NA
2020-07-29,1,Alto Tietê,"68,3",68.30843,"-0,2",-0.2,382.73852,prec_sun_icon.png,"0,0","7,5","47,9",NA,NA,0,2,NA,NA
2020-07-29,2,Guarapiranga,"53,1",53.08196,"-0,3",-0.3,90.87181,prec_sun_icon.png,"0,0","1,0","41,9",NA,NA,0,2,NA,NA
2020-07-29,3,Cotia,"82,4",82.40201,"-0,4",-0.4,13.59396,prec_icon.png,"0,2","4,2","52,1",NA,NA,0,2,NA,NA
2020-07-29,4,Rio Grande,"71,7",71.72948,"-0,3",-0.3,80.46779,prec_icon.png,"0,6","5,0","55,2",NA,NA,0,2,NA,NA
2020-07-29,5,Rio Claro,"57,6",57.61754,"-0,2",-0.2,7.87453,prec_icon.png,"5,0","21,8","92,1",NA,NA,0,2,NA,NA
2020-07-29,17,São Lourenço,"78,0",77.95479,"-0,8",-0.8,69.24044,prec_icon.png,"0,6","19,8","77,7",NA,NA,0,2,NA,NA
2020-07-28,0,Cantareira,"52,7",52.74818,"-0,2",-0.2,518.02515,prec_sun_icon.png,"0,0","4,9","47,7",NA,NA,0,2,NA,NA
2020-07-28,1,Alto Tietê,"68,5",68.53442,"-0,3",-0.3,384.00477,prec_icon.png,"0,1","7,5","47,9",NA,NA,0,2,NA,NA
2020-07-28,2,Guarapiranga,"53,4",53.40806,"-0,4",-0.4,91.43007,prec_sun_icon.png,"0,0","1,0","41,9",NA,NA,0,2,NA,NA
2020-07-28,3,Cotia,"82,8",82.80762,"-0,4",-0.4,13.66088,prec_sun_icon.png,"0,0","4,0","52,1",NA,NA,0,2,NA,NA
2020-07-28,4,Rio Grande,"72,0",72.00889,"-0,3",-0.3,80.78124,prec_sun_icon.png,"0,0","4,4","55,2",NA,NA,0,2,NA,NA
2020-07-28,5,Rio Claro,"57,8",57.80995,"-0,6",-0.6,7.90083,prec_sun_icon.png,"0,0","16,8","92,1",NA,NA,0,2,NA,NA
2020-07-28,17,São Lourenço,"78,8",78.75237,"-0,8",-0.8,69.94886,prec_sun_icon.png,"0,0","19,2","77,7",NA,NA,0,2,NA,NA
2020-07-27,0,Cantareira,"52,9",52.90446,"-0,2",-0.2,519.55991,prec_sun_icon.png,"0,0","4,9","47,7",NA,NA,0,2,NA,NA
2020-07-27,1,Alto Tietê,"68,8",68.77501,"-0,2",-0.2,385.35279,prec_sun_icon.png,"0,0","7,4","47,9",NA,NA,0,2,NA,NA
2020-07-27,2,Guarapiranga,"53,8",53.81658,"-0,4",-0.4,92.12942,prec_sun_icon.png,"0,0","1,0","41,9",NA,NA,0,2,NA,NA
2020-07-27,3,Cotia,"83,2",83.21439,"-0,4",-0.4,13.72798,prec_sun_icon.png,"0,0","4,0","52,1",NA,NA,0,2,NA,NA
2020-07-27,4,Rio Grande,"72,3",72.28893,"-0,2",-0.2,81.0954,prec_icon.png,"0,2","4,4","55,2",NA,NA,0,2,NA,NA
2020-07-27,5,Rio Claro,"58,4",58.39001,"-0,7",-0.7,7.9801,prec_icon.png,"0,4","16,8","92,1",NA,NA,0,2,NA,NA
2020-07-27,17,São Lourenço,"79,6",79.55335,"-0,5",-0.5,70.6603,prec_sun_icon.png,"0,0","19,2","77,7",NA,NA,0,2,NA,NA
2020-07-26,0,Cantareira,"53,1",53.05112,"-0,1",-0.1,521.00016,prec_sun_icon.png,"0,0","4,9","47,7",NA,NA,0,2,NA,NA
2020-07-26,1,Alto Tietê,"69,0",69.01202,"-0,3",-0.3,386.68079,prec_sun_icon.png,"0,0","7,4","47,9",NA,NA,0,2,NA,NA
2020-07-26,2,Guarapiranga,"54,2",54.22607,"-0,3",-0.3,92.83043,prec_sun_icon.png,"0,0","1,0","41,9",NA,NA,0,2,NA,NA
2020-07-26,3,Cotia,"83,6",83.62232,"-0,2",-0.2,13.79528,prec_sun_icon.png,"0,0","4,0","52,1",NA,NA,0,2,NA,NA
2020-07-26,4,Rio Grande,"72,5",72.51341,"-0,4",-0.4,81.34723,prec_icon.png,"0,2","4,2","55,2",NA,NA,0,2,NA,NA
2020-07-26,5,Rio Claro,"59,1",59.07217,"-0,7",-0.7,8.07333,prec_icon.png,"2,8","16,4","92,1",NA,NA,0,2,NA,NA
2020-07-26,17,São Lourenço,"80,1",80.12759,"-0,8",-0.8,71.17035,prec_icon.png,"0,2","19,2","77,7",NA,NA,0,2,NA,NA
2020-07-25,0,Cantareira,"53,2",53.21885,"-0,2",-0.2,522.64739,prec_sun_icon.png,"0,0","4,9","47,7",NA,NA,0,2,NA,NA
